no,region,address,aux addres,latitude,longitude,type,power,service
51,NDMC,"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,DC-001,15 kW,Self Service
52,NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.5907109,77.2242844,DC-001,15 kW,Self Service
53,NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",28.6248358,77.1952435,DC-001,15 kW,Self Service
54,NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",28.6248358,77.1952435,DC-001,15 kW,Self Service
55,NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",28.6252943,77.1952344,DC-001,15 kW,Self Service
56,NDMC,"Indian Coffee House, Connaught Place, New Delhi","Electric Vehicle Charger, Indian Coffee House, Connaught Place, New Delhi",28.6308096,77.2161583,DC-001,15 kW,Self Service
57,NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",28.6248358,77.1952435,DC-001,15 kW,Self Service
58,NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",28.6252943,77.1952344,DC-001,15 kW,Self Service
59,CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",13.0318485,80.241973,DC-001,15 kW,Self Service
60,CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",13.0318485,80.241973,AC-001,10 kW,Self Service
61,CMRL,"Koyam Bedu  Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai",13.1092809,80.1523462,DC-001,15 kW,Self Service
62,CMRL,"Koyam Bedu  Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai",13.1092809,80.1523462,AC-001,10 kW,Self Service
63,CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",12.9959222,80.2102867,DC-001,15 kW,Self Service
64,CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",12.9959222,80.2102867,AC-001,10 kW,Self Service
65,NDMC,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.5772318,77.1972385,DC-001,15 kW,Self Service
66,NDMC,"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,DC-001,15 kW,Self Service
67,NDMC,"Janpath Guest House, Connaught Place, New Delhi","Electric Vehicle Charger, Janpath Guest House, Connaught Place, New Delhi",28.623779,77.218963,DC-001,15 kW,Self Service
68,SDMC,"EESL N-Block GK-1, SDMC parking New Delhi","Electric Vehicle Charger, EESL N-Block GK-1, SDMC parking New Delhi",28.5568413,77.2340489,DC-001,15 kW,Self Service
69,SDMC,"SDMC Parking, B6, Safderjung Enclave","Electric Vehicle Charger, SDMC Parking, B6, Safderjung Enclave",28.5503609,77.2139161,DC-001,15 kW,Self Service
70,SDMC,"SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016","Electric Vehicle Charger, SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016",28.5463909,77.1963545,DC-001,15 kW,Self Service
71,SDMC,"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016","Electric Vehicle Charger, SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016",28.5453944,77.1908225,DC-001,15 kW,Self Service
72,SDMC,"SDMC Parking, R Block, GK-1, DELHI-110016","Electric Vehicle Charger, SDMC Parking, R Block, GK-1, DELHI-110016",28.5500136,77.2448704,DC-001,15 kW,Self Service
73,NKDA,"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156",22.579939,88.4531807,DC-001,15 kW,Self Service
74,NKDA,"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156",22.579939,88.4531807,AC-001,10 kW,Self Service
75,NKDA,"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059",22.585303,88.4569056,DC-001,15 kW,Self Service
76,NKDA,"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059",22.585303,88.4569056,AC-001,10 kW,Self Service
77,NKDA,"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135",22.603134,88.4671428,DC-001,15 kW,Self Service
78,NKDA,"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135",22.603134,88.4671428,AC-001,10 kW,Self Service
79,NKDA,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156",22.5833562,88.4593418,DC-001,15 kW,Self Service
80,NKDA,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156",22.5833562,88.4593418,AC-001,10 kW,Self Service
81,NKDA,"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",22.5770971,88.4796319,DC-001,15 kW,Self Service
82,NKDA,"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",22.5770971,88.4796319,AC-001,10 kW,Self Service
83,NKDA,"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",22.5796534,88.459843,DC-001,15 kW,Self Service
84,NKDA,"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",22.5796534,88.459843,AC-001,10 kW,Self Service
85,Noida Authority,"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",28.5721498,77.3375462,DC-001,15 kW,Self Service
86,Noida Authority,"Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India",28.5821195,77.3266991,DC-001,15 kW,Self Service
87,Noida Authority,"Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India",28.6265817,77.3752161,DC-001,15 kW,Self Service
88,Noida Authority,"road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",28.5481935,77.3221938,DC-001,15 kW,Self Service
89,Noida Authority,Between kirti mann plaza and NMC hospital Sector 30 Noida,"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.5727977,77.340531,DC-001,15 kW,Self Service
90,Noida Authority,"Sector 142, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger,  Sector 142, Noida, Uttar Pradesh, 201305",28.6265817,77.3752161,DC-001,15 kW,Self Service
91,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
92,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC, 142 kW,Self Service
93,NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.5907109,77.2242844,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
94,NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.5907109,77.2242844,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
95,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
96,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
97,NDMC,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.5772318,77.1972385,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
98,Noida Authority,"Op. C&R Textiles Ltd, sector-60, Noida","Electric Vehicle Charger, Op. C&R Textiles Ltd, sector-60, Noida",28.6021486,77.3627249,DC-001,15 kW,Self Service
99,Noida Authority,"Near Tata Advance Systems, sector- 59, Noida","Electric Vehicle Charger, Near Tata Advance Systems, sector- 59, Noida",28.6075627,77.3683319,DC-001,15 kW,Self Service
100,Noida Authority,"In front of Marie gold exports ltd, A block, sector-64, Noida","Electric Vehicle Charger, In front of Marie gold exports ltd, A block, sector-64, Noida",28.611892,77.3762261,DC-001,15 kW,Self Service
101,Noida Authority,"In front of Hexagon pvt ltd, sector-65, Noida","Electric Vehicle Charger, In front of Hexagon pvt ltd, sector-65, Noida",28.6127633,77.3871319,DC-001,15 kW,Self Service
102,SDMC,"Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048","Electric Vehicle Charger, Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048",28.5730519,77.1735339,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
103,SDMC,"Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048","Electric Vehicle Charger, Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048",28.5730519,77.1735339,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
104,SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym",28.5576621,77.1576843,DC-001,15 kW,Self Service
105,SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7",28.5576621,77.1576843,DC-001,15 kW,Self Service
106,SDMC,"EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016","Electric Vehicle Charger, EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016",28.5533997,77.1941654,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
107,SDMC,"EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016","Electric Vehicle Charger, EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016",28.5533997,77.1941654,CCS/ChADEMO/ Type 2 AC,142 kW,Self Service
108,SDMC,"J-Block, Malviya Nagar, parking New Delhi","Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi",28.5836863,77.0801998,DC-001,15 kW,Self Service
109,SDMC,"J-Block, Malviya Nagar, parking New Delhi","Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi",28.5836863,77.0801998,DC-001,15 kW,Self Service
110,SDMC,"Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi","Electric Vehicle Charger, Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi",28.571886,77.242384,DC-001,15 kW,Self Service
111,SDMC,"Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi","Electric Vehicle Charger, Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi",28.6428915,77.2190894,DC-001,15 kW,Self Service
112,SDMC,"Meharchand Market, SDMC parking, New Delhi","Electric Vehicle Charger, Meharchand Market, SDMC parking, New Delhi",28.5860181,77.2279415,DC-001,15 kW,Self Service
113,SDMC,"EESL H-Block, Sarita Vihar, SDMC parking New Delhi","Electric Vehicle Charger, EESL H-Block, Sarita Vihar, SDMC parking New Delhi",28.534966,77.291393,DC-001,15 kW,Self Service
